file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\test\java\org\apache\logging\log4j\core\config\XMLConfigurationPropsTest.java,org.apache.logging.log4j.core.config.XMLConfigurationPropsTest,class,6,6,0,6,5,1,0,8,4,0.7,0.3,0.3,5,2,5,0,0,0,5,0,0,0,2,2,0,2,0,0,2,0,10,47,0,0,0,2,0,14,0,9,0,9,1,0,0,0,30,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\test\java\org\apache\logging\log4j\core\layout\SerializedLayoutTest.java,org.apache.logging.log4j.core.layout.SerializedLayoutTest,class,11,11,0,11,6,1,0,21,0,0.53333336,0.33333334,0.33333334,3,2,3,0,0,0,3,0,0,0,5,3,0,2,0,3,2,0,0,48,0,1,0,1,0,20,2,13,1,13,2,0,0,0,60,1,4
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\appender\routing\Route.java,org.apache.logging.log4j.core.appender.routing.Route,class,8,11,3,8,14,1,0,7,0,0.45833334,0.7,1.0,6,1,5,1,0,0,5,0,0,0,4,1,0,4,0,0,4,0,1,58,7,1,6,0,0,15,0,5,0,5,2,0,0,0,43,17,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\pattern\RegexReplacement.java,org.apache.logging.log4j.core.pattern.RegexReplacement,class,6,8,2,6,6,1,0,6,0,0.41666666,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,3,1,0,3,0,0,3,0,2,26,4,0,2,0,0,9,0,4,1,4,1,0,0,0,41,17,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\web\src\main\java\org\apache\logging\log4j\core\web\JNDIContextFilter.java,org.apache.logging.log4j.core.web.JNDIContextFilter,class,12,12,0,12,11,1,0,16,0,0.38888893,1.0,1.0,3,0,3,0,0,0,3,0,0,0,6,2,2,4,0,0,2,0,0,62,2,0,5,1,1,6,0,14,2,12,3,0,0,0,66,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\test\java\org\apache\logging\log4j\test\appender\AlwaysFailAppender.java,org.apache.logging.log4j.test.appender.AlwaysFailAppender,class,7,8,1,7,4,2,0,1,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,6,0,0,0,0,1,0,0,0,17,1,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\pattern\LiteralPatternConverter.java,org.apache.logging.log4j.core.pattern.LiteralPatternConverter,class,5,6,1,5,9,3,0,5,0,0.13333334,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,23,1,0,1,0,0,3,0,3,0,3,0,0,0,0,26,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\appender\DefaultErrorHandler.java,org.apache.logging.log4j.core.appender.DefaultErrorHandler,class,6,7,1,6,14,1,0,5,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,4,0,4,38,0,0,2,0,0,0,3,11,3,9,1,0,0,0,44,1,3
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\appender\AsynchAppender.java,org.apache.logging.log4j.core.appender.AsynchAppender$AsynchThread,innerclass,2,2,0,2,17,2,0,7,0,0.22222222,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,2,0,2,57,0,4,2,4,0,0,0,10,0,7,3,0,0,0,34,2,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\api\src\main\java\org\apache\logging\log4j\message\LoggerNameAwareMessage.java,org.apache.logging.log4j.message.LoggerNameAwareMessage,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\lookup\StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$StringMatcher,innerclass,2,2,0,2,5,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,19,3,1,1,0,0,0,3,3,1,3,2,0,0,0,57,24,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\config\Node.java,org.apache.logging.log4j.core.config.Node,class,2,9,7,2,20,1,0,10,39,0.7428571,0.31428573,1.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,5,0,0,69,11,1,2,0,0,2,1,15,1,7,1,0,0,0,45,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\test\java\org\apache\logging\log4j\core\pattern\PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,class,11,12,1,11,8,1,0,20,0,0.88571423,1.0,1.0,5,0,4,1,0,0,4,0,0,0,14,6,0,10,0,4,6,0,3,60,0,2,1,0,0,33,5,31,4,31,1,0,0,0,81,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\layout\SyslogLayout.java,org.apache.logging.log4j.core.layout.SyslogLayout,class,10,12,2,10,14,3,0,28,4,0.6333334,1.0,1.0,5,1,2,2,1,0,3,0,0,1,6,1,1,5,0,0,6,0,11,64,4,0,5,1,0,20,1,15,2,13,2,0,0,0,108,1,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\config\JSONConfiguration.java,org.apache.logging.log4j.core.config.JSONConfiguration$ErrorType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\net\AbstractSocketManager.java,org.apache.logging.log4j.core.net.AbstractSocketManager,class,1,5,4,1,1,3,2,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,23,1025,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\pattern\NDCPatternConverter.java,org.apache.logging.log4j.core.pattern.NDCPatternConverter,class,5,6,1,5,3,3,0,2,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,12,1,0,0,0,0,6,0,1,0,1,0,0,0,0,33,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\web\src\test\java\org\apache\logging\log4j\core\web\Log4jContextListenerTest.java,org.apache.logging.log4j.core.web.Log4jContextListenerTest,class,9,9,0,9,9,1,0,14,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,141,0,0,3,0,0,33,3,25,6,22,0,0,1,0,45,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\pattern\ClassNamePatternConverter.java,org.apache.logging.log4j.core.pattern.ClassNamePatternConverter,class,5,6,1,5,4,4,0,4,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,18,1,0,1,0,0,7,0,2,0,2,1,0,0,0,43,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\test\java\org\apache\logging\log4j\core\filter\BurstFilterTest.java,org.apache.logging.log4j.core.filter.BurstFilterTest,class,9,10,1,9,23,1,0,25,0,0.25,1.0,1.0,2,1,2,0,0,0,2,0,0,0,6,5,0,6,0,0,2,0,5,80,0,9,8,0,8,22,40,22,24,16,2,0,0,0,86,1,7
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\api\src\test\java\org\apache\logging\log4j\message\StructuredDataMessageTest.java,org.apache.logging.log4j.message.StructuredDataMessageTest,class,3,3,0,3,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,14,0,6,0,6,0,0,0,0,35,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\appender\routing\Routes.java,org.apache.logging.log4j.core.appender.routing.Routes,class,8,10,2,8,10,1,0,5,0,0.4666667,0.6666667,1.0,5,1,4,1,0,0,4,0,0,0,3,1,0,3,0,0,3,0,1,39,6,1,3,0,1,9,1,6,0,5,2,0,0,0,35,17,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\slf4j-impl\src\main\java\org\slf4j\helpers\Log4JLoggerFactory.java,org.slf4j.helpers.Log4JLoggerFactory,class,11,13,2,11,12,2,0,15,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,0,3,2,0,3,0,0,3,0,1,62,4,1,1,0,0,2,0,16,0,12,2,0,1,0,49,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\pattern\DatePatternConverter.java,org.apache.logging.log4j.core.pattern.DatePatternConverter,class,7,10,3,7,22,3,0,12,9,0.8241758,0.2,0.2,7,1,6,1,0,0,6,0,0,0,13,10,0,13,0,0,11,0,1,92,2,1,5,1,4,17,4,25,1,18,2,0,0,0,80,17,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\core\src\main\java\org\apache\logging\log4j\core\selector\NamedContextSelector.java,org.apache.logging.log4j.core.selector.NamedContextSelector,interface,2,3,1,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j12-api\src\main\java\org\apache\log4j\spi\Filter.java,org.apache.log4j.spi.Filter,class,2,4,2,2,4,1,0,0,4,0.875,0.16666667,0.16666667,4,0,4,0,0,0,4,1,0,0,4,3,4,0,0,0,3,0,0,15,1,0,0,0,0,0,3,4,0,4,0,0,0,0,69,1025,0
