file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\layout\SerializedLayoutTest.java,org.apache.logging.log4j.core.layout.SerializedLayoutTest,class,11,11,0,11,6,1,0,21,0,0.53333336,0.33333334,0.33333334,3,2,3,0,0,0,3,0,0,0,5,3,0,2,0,3,2,0,0,48,0,1,0,1,0,20,2,13,1,13,2,0,0,0,59,1,4
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\appender\routing\Route.java,org.apache.logging.log4j.core.appender.routing.Route,class,8,11,3,8,13,1,0,6,0,0.5,0.6,1.0,6,1,5,1,0,0,5,0,0,0,4,1,0,4,0,0,4,0,1,55,7,1,5,0,0,14,0,5,0,5,2,0,0,0,43,17,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\pattern\RegexReplacement.java,org.apache.logging.log4j.core.pattern.RegexReplacement,class,6,8,2,6,6,1,0,6,0,0.41666666,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,3,1,0,3,0,0,3,0,2,26,4,0,2,0,0,9,0,4,1,4,1,0,0,0,41,17,2
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\test\appender\AlwaysFailAppender.java,org.apache.logging.log4j.test.appender.AlwaysFailAppender,class,7,8,1,7,4,2,0,1,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,6,0,0,0,0,1,0,0,0,17,1,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\pattern\LiteralPatternConverter.java,org.apache.logging.log4j.core.pattern.LiteralPatternConverter,class,3,4,1,3,4,3,0,1,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,2,0,1,0,1,0,0,0,0,19,17,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\appender\DefaultErrorHandler.java,org.apache.logging.log4j.core.appender.DefaultErrorHandler,class,6,7,1,6,14,1,0,5,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,6,3,0,6,0,0,3,0,4,38,0,0,2,0,0,0,3,11,3,9,1,0,0,0,44,1,3
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-api\src\main\java\org\apache\logging\log4j\message\LoggerNameAwareMessage.java,org.apache.logging.log4j.message.LoggerNameAwareMessage,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\lookup\StrMatcher.java,org.apache.logging.log4j.core.lookup.StrMatcher$StringMatcher,innerclass,2,2,0,2,5,2,0,1,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,19,3,1,1,0,0,0,3,3,1,3,2,0,0,0,57,24,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\main\java\org\apache\logging\log4j\core\config\Node.java,org.apache.logging.log4j.core.config.Node,class,2,9,7,2,17,1,0,5,65,0.8265306,0.14285715,0.32967034,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,52,10,0,1,0,0,1,1,7,1,7,0,0,0,0,43,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j2-core\src\test\java\org\apache\logging\log4j\core\pattern\PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,class,7,8,1,7,4,1,0,10,1,0.8888889,1.0,1.0,3,0,2,1,0,0,2,0,0,0,12,4,0,8,0,4,1,0,0,28,0,0,1,0,0,15,3,14,1,14,0,0,0,0,51,1,0
