file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphics2D.java,org.jfree.fx.FXGraphics2D,class,17,18,1,17,208,3,0,226,3425,0.95563704,0.087375045,0.29026288,91,3,74,17,0,0,74,0,0,0,27,0,0,26,0,1,4,0,23,826,73,6,48,1,2,12,53,161,18,133,3,0,0,0,576,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsDevice.java,org.jfree.fx.FXGraphicsDevice,class,1,3,2,1,5,2,0,1,6,0.6,0.2,0.3,5,0,5,0,0,0,5,0,0,0,2,0,0,1,0,1,1,0,0,20,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsConfiguration.java,org.jfree.fx.FXGraphicsConfiguration,class,2,4,2,2,10,2,0,2,19,0.7619047,0.04761905,0.04761905,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,1,38,8,0,3,0,0,1,4,3,0,3,1,0,0,0,42,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints,class,1,1,0,1,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,18,0,0,0,0,0,0,1,1,0,1,0,0,1,0,77,17,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints$Key,innerclass,0,0,0,0,4,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,32,9,0
