file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphics2D.java,org.jfree.fx.FXGraphics2D,class,19,21,2,19,226,3,0,235,3938,0.95729023,0.072195485,0.22510181,97,3,74,23,0,0,74,0,0,0,28,0,0,27,0,1,4,0,23,879,79,6,53,1,2,13,53,167,20,136,2,0,0,0,575,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\test\java\org\jfree\fx\TestGraphics2D.java,org.jfree.fx.TestGraphics2D,class,6,6,0,6,79,1,0,83,0,0.46969697,1.0,1.0,66,0,66,0,0,0,66,0,0,0,2,1,0,2,0,0,1,0,12,470,0,0,3,10,0,18,412,49,2,46,1,0,0,1,330,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXFontMetrics.java,org.jfree.fx.FXFontMetrics,class,7,9,2,7,9,2,0,19,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,36,5,1,0,0,0,0,1,11,2,10,1,0,0,0,64,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsDevice.java,org.jfree.fx.FXGraphicsDevice,class,1,3,2,1,5,2,0,1,6,0.6,0.2,0.3,5,0,5,0,0,0,5,0,0,0,2,0,0,1,0,1,1,0,0,20,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsConfiguration.java,org.jfree.fx.FXGraphicsConfiguration,class,2,4,2,2,12,2,0,5,22,0.725,0.10714286,0.10714286,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,1,0,1,47,9,0,4,0,0,1,6,5,0,5,1,0,0,0,77,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints,class,1,1,0,1,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,18,0,0,0,0,0,0,1,1,0,1,0,0,1,0,57,17,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints$Key,innerclass,0,0,0,0,4,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,35,9,0
