file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\core\layout\SerializedLayoutTest.java,org.apache.logging.log4j.core.layout.SerializedLayoutTest,class,18,19,1,18,13,1,0,39,0,0.7,0.5,1.0,5,2,5,0,0,0,5,0,0,0,8,5,1,3,0,4,4,0,1,87,0,3,0,3,0,28,2,29,1,28,2,0,0,0,99,1,5
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\async\BlockingQueueFactory.java,org.apache.logging.log4j.core.async.BlockingQueueFactory,interface,1,7,6,1,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,42,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\appender\db\jdbc\ColumnConfig.java,org.apache.logging.log4j.core.appender.db.jdbc.ColumnConfig,class,8,15,7,8,12,1,0,15,13,0.70454544,0.2,0.62222224,11,2,10,1,0,0,10,0,0,0,8,1,0,8,0,0,8,0,4,117,11,0,0,0,0,7,0,11,1,11,1,0,1,0,66,17,1
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\test\appender\AlwaysFailAppender.java,org.apache.logging.log4j.test.appender.AlwaysFailAppender,class,8,9,1,8,3,2,0,0,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,5,0,0,0,0,0,0,0,0,17,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-perf\src\main\java\org\apache\logging\log4j\perf\jmh\ThreadLocalVsConcurrentHashMapBenchmark.java,org.apache.logging.log4j.perf.jmh.ThreadLocalVsConcurrentHashMapBenchmark,class,3,4,1,3,8,1,0,11,7,0.6666667,1.0,1.0,6,0,3,3,0,0,3,0,0,0,3,3,0,3,0,0,1,0,2,42,6,0,2,0,0,1,2,11,0,9,1,0,0,0,31,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\async\AsyncLoggerConfig.java,org.apache.logging.log4j.core.async.AsyncLoggerConfig,class,19,30,11,19,26,3,0,39,85,0.8,0.054545455,0.054545455,15,3,5,4,4,2,11,0,0,0,2,1,0,2,0,0,2,0,6,123,7,0,3,2,0,13,1,9,0,8,2,1,1,0,224,1,4
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-1.2-api\src\main\java\org\apache\log4j\builders\appender\FileAppenderBuilder.java,org.apache.log4j.builders.appender.FileAppenderBuilder,class,20,21,1,20,21,2,0,39,8,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,6,113,4,0,6,0,1,7,1,27,0,25,4,0,0,1,76,1,5
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\impl\DefaultLogEventFactory.java,org.apache.logging.log4j.core.impl.DefaultLogEventFactory,class,9,12,3,9,3,1,0,0,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,3,0,0,0,0,0,0,1,0,1,0,0,0,0,46,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\config\Node.java,org.apache.logging.log4j.core.config.Node,class,3,18,15,3,21,1,0,12,52,0.78676474,0.30882353,1.0,17,0,17,0,0,0,17,0,0,0,8,1,1,7,0,0,6,0,0,76,13,1,2,0,0,4,0,16,1,8,1,0,0,0,75,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\config\plugins\convert\TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$FileConverter,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\core\config\plugins\processor\PluginProcessorTest.java,org.apache.logging.log4j.core.config.plugins.processor.PluginProcessorTest,class,12,13,1,12,7,1,0,29,0,0.16666667,1.0,1.0,6,1,5,1,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,46,0,1,0,0,0,6,1,9,2,9,1,0,0,0,40,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\core\pattern\PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,class,28,29,1,28,38,1,0,53,366,0.96127945,0.16524217,0.22222222,33,0,27,6,0,0,27,0,0,0,18,9,0,14,0,4,7,0,7,245,0,5,0,0,0,94,24,79,10,79,1,0,0,0,147,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\tools\picocli\CommandLine.java,org.apache.logging.log4j.core.tools.picocli.CommandLine$DefaultExceptionHandler,innerclass,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-api\src\main\java\org\apache\logging\log4j\util\Unbox.java,org.apache.logging.log4j.util.Unbox$WebSafeState,innerclass,1,1,0,1,7,1,0,5,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,31,4,2,3,0,0,0,6,10,0,8,2,0,0,0,64,10,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-layout-template-json\src\main\java\org\apache\logging\log4j\layout\template\json\resolver\EndOfBatchResolverFactory.java,org.apache.logging.log4j.layout.template.json.resolver.EndOfBatchResolverFactory,class,5,7,2,5,4,1,0,2,6,0.75,0.0,0.0,4,1,2,1,0,1,3,0,0,0,1,1,0,1,0,0,1,0,2,14,3,0,0,0,0,0,0,1,0,1,0,0,0,0,21,16,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-api\src\test\java\org\apache\logging\log4j\message\StructuredDataMessageTest.java,org.apache.logging.log4j.message.StructuredDataMessageTest,class,2,2,0,2,6,1,0,5,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,61,0,24,1,24,0,0,0,1,50,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-api\src\test\java\org\apache\logging\log4j\junit\LogManagerLoggerContextFactoryRule.java,org.apache.logging.log4j.junit.LogManagerLoggerContextFactoryRule,class,3,3,0,3,3,2,0,2,0,0.33333334,0.6666667,1.0,3,0,1,0,2,0,3,0,0,0,2,0,0,2,0,0,1,0,3,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\test\appender\ListAppender.java,org.apache.logging.log4j.test.appender.ListAppender$Builder,innerclass,8,8,0,8,6,1,0,0,5,0.6666667,0.33333334,1.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,0,0,0,30,6,0,0,0,0,2,0,5,0,5,0,0,0,0,19,9,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-api\src\test\java\org\apache\logging\log4j\junit\StatusLoggerRule.java,org.apache.logging.log4j.junit.StatusLoggerRule,class,3,3,0,3,3,2,0,3,0,0.33333334,0.6666667,1.0,3,0,1,0,2,0,3,0,0,0,3,0,0,3,0,0,2,0,1,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,32,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\main\java\org\apache\logging\log4j\core\async\RingBufferLogEvent.java,org.apache.logging.log4j.core.async.RingBufferLogEvent,class,26,35,9,26,66,1,0,56,688,0.91454536,0.13205129,0.85384613,44,0,39,4,0,1,40,0,0,0,25,3,1,24,0,0,4,0,4,252,33,1,16,0,3,2,5,51,0,28,2,0,1,0,186,1,0
C:\Users\donat\OneDrive\Desktop\Progetto-evoluzione-qualita-del-Software\To_Analyze\log4j-core\src\test\java\org\apache\logging\log4j\core\layout\CsvParameterLayoutTest.java,org.apache.logging.log4j.core.layout.CsvParameterLayoutTest,class,15,17,2,15,17,1,0,31,48,0.7307693,0.22222222,0.22222222,13,5,9,3,0,1,10,0,0,0,2,0,2,0,0,0,2,0,7,95,1,1,0,0,0,26,33,21,4,19,1,0,0,0,65,1,9
