file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphics2D.java,org.jfree.fx.FXGraphics2D,class,18,20,2,18,219,3,0,232,3842,0.95684534,0.072195485,0.22510181,96,3,74,22,0,0,74,0,0,0,28,0,0,27,0,1,4,0,23,857,76,6,52,1,2,12,53,165,18,134,3,0,0,0,571,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\test\java\org\jfree\fx\TestGraphics2D.java,org.jfree.fx.TestGraphics2D,class,6,6,0,6,76,1,0,80,0,0.46825397,1.0,1.0,63,0,63,0,0,0,63,0,0,0,2,1,0,2,0,0,1,0,12,447,0,0,3,10,0,18,360,48,2,45,1,0,0,1,314,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXFontMetrics.java,org.jfree.fx.FXFontMetrics,class,7,9,2,7,9,2,0,19,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,36,5,1,0,0,0,0,1,11,2,10,1,0,0,0,58,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsDevice.java,org.jfree.fx.FXGraphicsDevice,class,1,3,2,1,5,2,0,1,6,0.6,0.2,0.3,5,0,5,0,0,0,5,0,0,0,2,0,0,1,0,1,1,0,0,20,4,0,0,0,0,0,0,2,0,2,0,0,0,0,30,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXGraphicsConfiguration.java,org.jfree.fx.FXGraphicsConfiguration,class,2,4,2,2,10,2,0,2,19,0.7619047,0.04761905,0.04761905,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,1,38,8,0,3,0,0,1,4,3,0,3,1,0,0,0,42,1,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints,class,1,1,0,1,1,2,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,18,0,0,0,0,0,0,1,1,0,1,0,0,1,0,57,17,0
C:\Users\donat\OneDrive\Desktop\SoftwareEvolutionToolchainWrapper\To_Analyze\src\main\java\org\jfree\fx\FXHints.java,org.jfree.fx.FXHints$Key,innerclass,0,0,0,0,4,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1,1,0,0,0,1,0,0,0,35,9,0
